,publicationName,source_id,issn,eIssn,aggregationType,count,q_issn,availability,coverage,coverageRange
10,Journal of Evolutionary Biology,18920,1010061X,14209101,Journal,18.0,14209101,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1988 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 1997 volume: 10 issue: 1.'}","['1988 - present', '1997 - present']"
11,Freshwater Biology,15112,00465070,13652427,Journal,18.0,13652427,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1971 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 1971 volume: 1 issue: 1.'}","['1971 - present', '1971 - present']"
12,Diversity and Distributions,14551,13669516,14724642,Journal,18.0,14724642,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1998 volume: 4 issue: 2.', 'EBSCOhost Academic Search Complete': 'Available from 1999.Most recent 1 year(s) not available.', 'JSTOR Life Sciences Collection': 'Available from 1998 volume: 4 issue: 1.Most recent 5 year(s) not available.', 'Scholars Portal': 'Available from 1998 volume: 4 issue: 1.'}","['1998 - present', '1999 - 1 year ago', '1998 - 5 year ago', '1998 - present']"
13,Ecology and Evolution,21100264002,,20457758,Journal,18.0,20457758,Full-text available to present,"{'DOAJ Directory of Open Access Journals': 'Available from 2011.', 'PubMed Central': 'Available from 2011 volume: 1.', 'SciTech Premium Collection': 'Available from 2011.'}","['2011 - present', '2011 - present', '2011 - present']"
14,Journal of Avian Biology,22035,09088857,1600048X,Journal,17.0,1600048X,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 2000 volume: 31 issue: 1.', 'EBSCOhost Academic Search Complete': 'Available from 1998.Most recent 1 year(s) not available.', 'JSTOR Life Sciences Collection': 'Available from 1994 volume: 25 issue: 1.Most recent 8 year(s) not available.', 'Scholars Portal': 'Available from 1997 volume: 28 issue: 1.'}","['2000 - present', '1998 - 1 year ago', '1994 - 8 year ago', '1997 - present']"
15,Behavioral Ecology,13151,10452249,14657279,Journal,16.0,14657279,Full-text available to present,"{'Highwire Press International Society for Behavioral Ecology': 'Available from 1996 volume: 7 issue: 1.', 'Oxford University Press Journals Digital Archive': 'Available from 1990 volume: 1 issue: 1 until 1995 volume: 6 issue: 4.', 'Scholars Portal': 'Available from 1996 volume: 7 issue: 1.', 'CRKN Oxford University Press Current': 'Available from 1996 volume: 7 issue: 1.'}","['1996 - present', '1990 - 1995', '1996 - present', '1996 - present']"
16,Chemosphere,24657,00456535,18791298,Journal,15.0,18791298,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 30 issue: 1.', 'Scholars Portal': 'Available from 1972 volume: 1 issue: 1.'}","['1995 - present', '1972 - present']"
17,Proceedings of the Royal Society B: Biological Sciences,130030,09628452,14712954,Journal,13.0,14712954,Full-text available with embargo,"{'Highwire Press Free': 'Available from 1905 volume: 76 issue: 507 until 1947 volume: 135 issue: 878.', 'JSTOR Life Sciences Collection': 'Available from 1990 volume: 241 issue: 1300.Most recent 4 year(s) not available.', 'PubMed Central': 'Available from 1997 volume: 264.Most recent 1 year(s) not available.'}","['1905 - 1947', '1990 - 4 year ago', '1997 - 1 year ago']"
18,Ethology,21489,01791613,14390310,Journal,13.0,14390310,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1986 volume: 71 issue: 1.', 'Scholars Portal': 'Available from 1986 volume: 71 issue: 1.'}","['1986 - present', '1986 - present']"
19,Bulletin of Environmental Contamination and Toxicology,24624,00074861,14320800,Journal,13.0,14320800,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 58 issue: 1.', 'SpringerLink Historical Archives Earth and Environmental Sciences': 'Available from 1966 volume: 1 until 1996 volume: 57.', 'Scholars Portal': 'Available from 2000 volume: 64 issue: 6.', 'SciTech Premium Collection': 'Available from 1997.Most recent 1 year(s) not available.'}","['1997 - present', '1966 - 1996', '2000 - present', '1997 - 1 year ago']"
20,Heredity,22235,0018067X,13652540,Journal,13.0,13652540,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 1996 volume: 76 issue: 1 until 2015 volume: 115 issue: 6.', 'Nature': 'Available from 1947 volume: 1 issue: 1.', 'PubMed Central': 'Available from 2011 volume: 106.Most recent 1 year(s) not available.', 'Scholars Portal': 'Available from 1998 volume: 80 issue: 1 until 2001 volume: 87 issue: 6.', 'SciTech Premium Collection': 'Available from 2000.Most recent 1 year(s) not available.'}","['1996 - 2015', '1947 - present', '2011 - 1 year ago', '1998 - 2001', '2000 - 1 year ago']"
21,International Journal of Hydrogen Energy,26991,03603199,,Journal,13.0,03603199,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 20 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 20 issue: 1.'}","['1995 - present', '1995 - present']"
22,Oecologia,12925,00298549,,Journal,12.0,00298549,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 109 issue: 2.', 'Gale Cengage Academic OneFile': 'Available from 2010.Most recent 1 year(s) not available.', 'JSTOR Life Sciences Collection': 'Available from 1968 volume: 1.Most recent 4 year(s) not available.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 1968 volume: 1 until 1996 volume: 108.', 'SpringerLink Historical Archives Earth and Environmental Sciences': 'Available from 1968 volume: 1 until 1996 volume: 108.', 'JSTOR Ecology & Botany II': 'Available from 1968 volume: 1.Most recent 4 year(s) not available.', 'Scholars Portal': 'Available from 1968 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 2003.Most recent 1 year(s) not available.'}","['1997 - present', '2010 - 1 year ago', '1968 - 4 year ago', '1968 - 1996', '1968 - 1996', '1968 - 4 year ago', '1968 - present', '2003 - 1 year ago']"
23,Limnology and Oceanography,29576,,19395590,Journal,12.0,19395590,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1997 volume: 42 issue: 1.', 'JSTOR Life Sciences Collection': 'Available from 1956 volume: 1 issue: 1.Most recent 4 year(s) not available.'}","['1997 - present', '1956 - 4 year ago']"
24,Ecological Applications,20287,,19395582,Journal,12.0,19395582,Full-text available to present,"{'Gale Cengage Academic OneFile': 'Available from 1999 volume: 9 issue: 3 until 2000 volume: 10 issue: 1.', 'JSTOR Arts and Sciences I': 'Available from 1991 volume: 1 issue: 1.Most recent 3 year(s) not available.', 'JSTOR Life Sciences Collection': 'Available from 1991 volume: 1 issue: 1.Most recent 3 year(s) not available.', 'EBSCOhost Electronic Journals Service': 'Available from 2006 volume: 16 issue: 1 until 2015 volume: 25 issue: 8.', 'CRKN Wiley Online Library': 'Available from 1997 volume: 7 issue: 1.'}","['1999 - 2000', '1991 - 3 year ago', '1991 - 3 year ago', '2006 - 2015', '1997 - present']"
25,Marine Ecology Progress Series,12169,01718630,,Journal,12.0,01718630,"Full-text available, but not complete",{'Free E- Journals': 'Available from 1979 volume: 1 until 2011 volume: 448.'},['1979 - 2011']
26,Canadian Journal of Zoology,24765,00084301,,Journal,11.0,00084301,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 2001.Most recent 1 year(s) not available.', 'Gale Cengage Academic OneFile': 'Available from 2006.Most recent 1 year(s) not available.', 'Gale Cengage CPI.Q': 'Available from 2006.Most recent 1 year(s) not available.', 'Canadian Science Publishing (NRC Research Press) Current': 'Available from 1951 volume: 29 issue: 1.', 'Canadian Science Publishing (NRC Research Press) Back Issues': 'Available from 1951 volume: 29 issue: 1 until 1995 volume: 73 issue: 12.', 'Canadian Business & Current Affairs Database (CBCA)': 'Available from 1998 until 2007.', 'Canadian Business & Current Affairs Database: Reference (CBCA)': 'Available from 1998 until 2007.', 'SciTech Premium Collection': 'Available from 1998 until 2007.'}","['2001 - 1 year ago', '2006 - 1 year ago', '2006 - 1 year ago', '1951 - present', '1951 - 1995', '1998 - 2007', '1998 - 2007', '1998 - 2007']"
27,Conservation Genetics,22069,15660621,15729737,Journal,11.0,15729737,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 2000 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 2000 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 2000.Most recent 1 year(s) not available.'}","['2000 - present', '2000 - present', '2000 - 1 year ago']"
28,Science of the Total Environment,25349,00489697,18791026,Journal,11.0,18791026,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 159 issue: 1.', 'Scholars Portal': 'Available from 1972 volume: 1 issue: 1.'}","['1995 - present', '1972 - present']"
29,Behaviour,24713,00057959,1568539X,Journal,10.0,1568539X,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 1999 volume: 136 issue: 1.Most recent 3 year(s) not available.', 'JSTOR Life Sciences Collection': 'Available from 1947 volume: 1 issue: 1.Most recent 4 year(s) not available.', 'Brill Online Journals': 'Available from 1948 volume: 1 issue: 1.', 'EBSCOhost Electronic Journals Service': 'Available from 1948 volume: 1 issue: 1.'}","['1999 - 3 year ago', '1947 - 4 year ago', '1948 - present', '1948 - present']"
30,Bioacoustics,24714,09524622,21650586,Journal,10.0,21650586,Full-text available to present,"{'Taylor & Francis Journals Complete': 'Available from 1997 volume: 7 issue: 3.', 'Scholars Portal': 'Available from 2012 volume: 21 issue: 1.'}","['1997 - present', '2012 - present']"
31,Aquaculture,29419,00448486,,Journal,9.0,00448486,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 129 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 129 issue: 1.'}","['1995 - present', '1995 - present']"
32,Journal of Ornithology,22037,21937192,21937206,Journal,9.0,21937206,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 2010.Most recent 1 year(s) not available.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 1853 volume: 1 until 1996 volume: 137.', 'Canadian Research Knowledge Network SpringerLink Current': 'Available from 2004 volume: 145 issue: 1.', 'Scholars Portal': 'Available from 2012 volume: 152 issue: 1.'}","['2010 - 1 year ago', '1853 - 1996', '2004 - present', '2012 - present']"
33,Transactions of the American Fisheries Society,29411,00028487,15488659,Journal,9.0,15488659,Full-text available to present,"{'Taylor & Francis Journals Complete': 'Available from 1997 volume: 126 issue: 1.', 'Scholars Portal': 'Available from 1996 volume: 125 issue: 1.', 'CRKN Wiley Online Library': 'Available from 1997 volume: 126 issue: 1.'}","['1997 - present', '1996 - present', '1997 - present']"
34,Journal of Experimental Biology,29605,00220949,,Journal,9.0,00220949,Full-text available with embargo,{'Highwire Press Company of Biologists': 'Available from 1923 volume: 1 issue: 1.Most recent 6 month(s) not available.'},['1923 - 6 month ago']
35,Auk,20977,00048038,,Journal,9.0,00048038,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 2003 until 2007.', 'Free E- Journals': 'Available from 2000 volume: 117.Most recent 6 month(s) not available.', 'JSTOR Life Sciences Collection': 'Available from 1884 volume: 1 issue: 1.Most recent 4 year(s) not available.', 'SORA Searchable Ornithological Research Archive': 'Available from 1884 volume: 1 issue: 1 until 2001 volume: 118 issue: 4.', 'Scholars Portal': 'Available from 2008 volume: 125 issue: 1 until 2017 volume: 134 issue: 4.', 'SciTech Premium Collection': 'Available from 1997 until 2012.', 'BioOne Complete': 'Available from 2000 volume: 117 issue: 1 until 2018 volume: 135 issue: 4.', 'Oxford University Press Journals Current': 'Available from 1884 volume: 1 issue: 1.', 'CRKN Oxford University Press Current': 'Available from 1996 volume: 113 issue: 1.'}","['2003 - 2007', '2000 - 6 month ago', '1884 - 4 year ago', '1884 - 2001', '2008 - 2017', '1997 - 2012', '2000 - 2018', '1884 - present', '1996 - present']"
36,Environmental Pollution,23916,02697491,18736424,Journal,9.0,18736424,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 87 issue: 1.', 'Scholars Portal': 'Available from 1987 volume: 43 issue: 1.'}","['1995 - present', '1987 - present']"
37,Behavioral Ecology and Sociobiology,22803,03405443,,Journal,9.0,03405443,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 40 issue: 1.', 'JSTOR Life Sciences Collection': 'Available from 1976 volume: 1 issue: 1.Most recent 4 year(s) not available.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 1976 volume: 1 until 1996 volume: 39.', 'Sociology Collection': 'Available from 2003.Most recent 1 year(s) not available.', 'Scholars Portal': 'Available from 1976 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 2003.Most recent 1 year(s) not available.'}","['1997 - present', '1976 - 4 year ago', '1976 - 1996', '2003 - 1 year ago', '1976 - present', '2003 - 1 year ago']"
38,"Journal of Comparative Physiology A: Neuroethology, Sensory, Neural, and Behavioral Physiology",23456,03407594,14321351,Journal,8.0,14321351,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 180 issue: 2.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 1924 volume: 1 until 1996 volume: 179.', 'SpringerLink Historical Archives Medicine': 'Available from 1924 volume: 1 until 1996 volume: 179.', 'Scholars Portal': 'Available from 1972 volume: 77 issue: 1.', 'SciTech Premium Collection': 'Available from 2003.Most recent 1 year(s) not available.'}","['1997 - present', '1924 - 1996', '1924 - 1996', '1972 - present', '2003 - 1 year ago']"
39,Aquatic Ecosystem Health and Management,16730,14634988,15394077,Journal,8.0,15394077,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 2001.Most recent 1 year(s) 6 month(s) not available.', 'Taylor & Francis Journals Complete': 'Available from 1998 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 1998 volume: 1 issue: 1.'}","['2001 - 1 year ago', '1998 - present', '1998 - present']"
40,Cell Cycle,18455,15384101,15514005,Journal,8.0,15514005,Full-text available to present,"{'Taylor & Francis Journals Complete': 'Available from 2018 volume: 17 issue: 1.', 'Scholars Portal': 'Available from 2010 volume: 9 issue: 24.', 'PubMed Central': 'Available from 2009 volume: 8.Most recent 1 year(s) not available.'}","['2018 - present', '2010 - present', '2009 - 1 year ago']"
41,Journal of Field Ornithology,22036,02738570,15579263,Journal,8.0,15579263,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 2006 volume: 77 issue: 1.', 'JSTOR Life Sciences Collection': 'Available from 1980 volume: 51 issue: 1.Most recent 4 year(s) not available.', 'SORA Searchable Ornithological Research Archive': 'Available from 1980 volume: 51 issue: 1 until 1999 volume: 70 issue: 4.', 'Scholars Portal': 'Available from 1980 volume: 51 issue: 1.', 'BioOne Complete': 'Available from 2000 until 2005.'}","['2006 - present', '1980 - 4 year ago', '1980 - 1999', '1980 - present', '2000 - 2005']"
42,Condor,21554,00105422,,Journal,8.0,00105422,Full-text available to present,"{'JSTOR Life Sciences Collection': 'Available from 1900 volume: 2 issue: 1.Most recent 4 year(s) not available.', 'SORA Searchable Ornithological Research Archive': 'Available from 1899 volume: 1 issue: 1 until 2000 volume: 102 issue: 4.', 'Free E- Journals': 'Available from 2000 volume: 102.Most recent 6 month(s) not available.', 'Scholars Portal': 'Available from 1900 volume: 2 issue: 1.', 'SciTech Premium Collection': 'Available from 1998 until 2012.', 'BioOne Complete': 'Available from 2000.', 'CRKN Oxford University Press Current': 'Available from 1996 volume: 98 issue: 1.'}","['1900 - 4 year ago', '1899 - 2000', '2000 - 6 month ago', '1900 - present', '1998 - 2012', '2000 - present', '1996 - present']"
43,Science,23571,00368075,10959203,Journal,8.0,10959203,Full-text available to present,"{'Gale Cengage Academic OneFile': 'Available from 1983 volume: 221 issue: 4608 until 2005.', 'Science Journals': 'Available from 1996 volume: 274 issue: 5295.', 'JSTOR Life Sciences Collection': 'Available from 1880 volume: 1 issue: 1.Most recent 6 year(s) not available.', 'SciTech Premium Collection': 'Available from 1988 until 2005.'}","['1983 - 2005', '1996 - present', '1880 - 6 year ago', '1988 - 2005']"
44,General and Comparative Endocrinology,26113,00166480,10956840,Journal,8.0,10956840,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1993 volume: 89 issue: 1.', 'Scholars Portal': 'Available from 1993 volume: 89 issue: 1.'}","['1993 - present', '1993 - present']"
45,Marine Biology,12165,00253162,,Journal,8.0,00253162,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 127 issue: 3.', 'EBSCOhost Academic Search Complete': 'Available from 2003.Most recent 1 year(s) not available.', 'Gale Cengage Academic OneFile': 'Available from 2010 until 2015.Available from 2017.Most recent 1 year(s) not available.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 1967 volume: 1 until 1996 volume: 126.', 'SpringerLink Historical Archives Earth and Environmental Sciences': 'Available from 1967 volume: 1 until 1996 volume: 126.', 'Scholars Portal': 'Available from 1967 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 1998.Most recent 1 year(s) not available.'}","['1997 - present', '2003 - 1 year ago', '2010 - 1 year ago', '2010 - 2015', '1967 - 1996', '1967 - 1996', '1967 - present', '1998 - 1 year ago']"
46,Ecology Letters,14599,1461023X,14610248,Journal,7.0,14610248,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1998 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 1998 volume: 1 issue: 1.'}","['1998 - present', '1998 - present']"
47,Canadian Entomologist,19716,0008347X,19183240,Journal,7.0,19183240,Full-text available to present,"{'Free E- Journals': 'Available from 1868 volume: 1 issue: 1 until 1923 volume: 55 issue: 7.', 'Canadian Business & Current Affairs Database (CBCA)': 'Available from 2003.Most recent 1 year(s) not available.', 'Canadian Business & Current Affairs Database: Reference (CBCA)': 'Available from 2003.Most recent 1 year(s) not available.', 'CRKN Cambridge University Press Journals': 'Available from 2003 volume: 135 issue: 1.', 'Scholars Portal': 'Available from 2007 volume: 139 issue: 1 until 2011 volume: 143 issue: 6.', 'SciTech Premium Collection': 'Available from 2003.Most recent 1 year(s) not available.', 'BioOne Complete': 'Available from 2007 until 2011.'}","['1868 - 1923', '2003 - 1 year ago', '2003 - 1 year ago', '2003 - present', '2007 - 2011', '2003 - 1 year ago', '2007 - 2011']"
48,Journal of Applied Ecology,29547,00218901,13652664,Journal,7.0,13652664,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1998 volume: 35 issue: 1.', 'JSTOR Life Sciences Collection': 'Available from 1964 volume: 1 issue: 1.Most recent 6 year(s) not available.', 'Scholars Portal': 'Available from 1998 volume: 35 issue: 1.'}","['1998 - present', '1964 - 6 year ago', '1998 - present']"
49,Archives of Environmental Contamination and Toxicology,24603,00904341,14320703,Journal,7.0,14320703,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 32 issue: 1.', 'ABI/INFORM Collection': 'Available from 1997.Most recent 1 year(s) not available.', 'ABI/INFORM Global': 'Available from 1997.Most recent 1 year(s) not available.', 'SpringerLink Historical Archives Chemistry and Materials Science': 'Available from 1973 volume: 1 until 1996 volume: 31.', 'SpringerLink Historical Archives Earth and Environmental Sciences': 'Available from 1973 volume: 1 until 1996 volume: 31.', 'Scholars Portal': 'Available from 1973 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 1997.Most recent 1 year(s) not available.'}","['1997 - present', '1997 - 1 year ago', '1997 - 1 year ago', '1973 - 1996', '1973 - 1996', '1973 - present', '1997 - 1 year ago']"
50,Physiological and Biochemical Zoology,23318,15222152,,Journal,7.0,15222152,Full-text available with embargo,"{'EBSCOhost Academic Search Complete': 'Available from 1999.Most recent 1 year(s) not available.', 'JSTOR Life Sciences Collection': 'Available from 1999 volume: 72 issue: 1.Most recent 4 year(s) not available.'}","['1999 - 1 year ago', '1999 - 4 year ago']"
51,American Naturalist,12604,00030147,,Journal,7.0,00030147,Full-text available with embargo,{'JSTOR Life Sciences Collection': 'Available from 1867 volume: 1 issue: 1.Most recent 4 year(s) not available.'},['1867 - 4 year ago']
52,Ecological Modelling,23274,03043800,,Journal,7.0,03043800,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1995 volume: 77 issue: 1.', 'Scholars Portal': 'Available from 1975 volume: 1 issue: 1.'}","['1995 - present', '1975 - present']"
53,Journal of Medical Entomology,20491,00222585,19382928,Journal,6.0,19382928,Full-text available to present,"{'Scholars Portal': 'Available from 2000 volume: 37 issue: 1.', 'CRKN Oxford University Press Current': 'Available from 1996 volume: 33 issue: 1.', 'SciTech Premium Collection': 'Available from 2016.Most recent 1 year(s) not available.', 'BioOne Complete': 'Available from 2000 until 2015.', 'Gale Cengage Academic OneFile': 'Available from 1999 until 2003.Available from 2005 until 2014.'}","['2000 - present', '1996 - present', '2016 - 1 year ago', '2000 - 2015', '1999 - 2003']"
54,Plant Journal,16612,09607412,,Journal,6.0,09607412,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1991 volume: 1 issue: 1.', 'Scholars Portal': 'Available from 1997 volume: 11 issue: 1.'}","['1991 - present', '1997 - present']"
55,Functional Ecology,18002,02698463,13652435,Journal,6.0,13652435,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1997 volume: 11 issue: 1.', 'JSTOR Life Sciences Collection': 'Available from 1987 volume: 1 issue: 1.Most recent 6 year(s) not available.', 'Scholars Portal': 'Available from 1997 volume: 11 issue: 1.'}","['1997 - present', '1987 - 6 year ago', '1997 - present']"
56,Journal of Comparative Neurology,16689,00219967,10969861,Journal,6.0,10969861,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1996 volume: 364 issue: 1.', 'Scholars Portal': 'Available from 1995 volume: 351 issue: 1.'}","['1996 - present', '1995 - present']"
57,Genetica,22171,00166707,15736857,Journal,6.0,15736857,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 99 issue: 1.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 1919 volume: 1 until 1996 volume: 98.', 'Scholars Portal': 'Available from 1919 volume: 1 issue: 1.', 'SciTech Premium Collection': 'Available from 1997.Most recent 1 year(s) not available.'}","['1997 - present', '1919 - 1996', '1919 - present', '1997 - 1 year ago']"
58,Hormones and Behavior,26133,0018506X,10956867,Journal,6.0,10956867,Full-text available to present,"{'Elsevier SD Freedom Collection': '', 'CRKN Elsevier ScienceDirect': 'Available from 1993 volume: 27 issue: 1.', 'Scholars Portal': 'Available from 1969 volume: 1 issue: 1.'}","['1993 - present', '1969 - present']"
59,Ornitologia Neotropical,4700152417,10754377,,Journal,5.0,10754377,"Full-text available, but not complete",{'SORA Searchable Ornithological Research Archive': 'Available from 1990 volume: 1 issue: 1 until 2014 volume: 25 issue: 4.'},['1990 - 2014']
